año;organismo;programa;economica;sp;descripcion;presupuesto;liquidacion
2022;1;33600;;;Arqueología y protección del Patrimonio Histórico-Artístico;58021.23;134471.51
2023;1;33600;;;Arqueología y protección del Patrimonio Histórico-Artístico;57773.24;107940.26
2024;1;33600;;;Arqueología y protección del Patrimonio Histórico-Artístico;19400;42128.76
2010;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2011;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2012;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2013;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2014;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2015;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;1766.6
2016;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;10000;18366.3
2017;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;32000;37061.01
2018;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;25000;0
2019;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2020;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;10218.69
2021;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2022;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2023;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2024;1;33601;;;Gestión del Patrimonio Histórico-Artístico: OBRAS MEJORA CONJ.HIS;0;0
2010;1;33700;;;Ocio y tiempo libre;23740;37333.46
2011;1;33700;;;Ocio y tiempo libre;23940;29626.43
2012;1;33700;;;Ocio y tiempo libre;0;0
2013;1;33700;;;Ocio y tiempo libre;0;0
2014;1;33700;;;Ocio y tiempo libre;0;7294.88
2015;1;33700;;;Ocio y tiempo libre;92145.9;87402.66
2016;1;33700;;;Ocio y tiempo libre;78018.95;74485.31
2017;1;33700;;;Ocio y tiempo libre;90864.95;97928.95
2018;1;33700;;;Ocio y tiempo libre;79698.34;83302.56
2019;1;33700;;;Ocio y tiempo libre;82310.81;75732.19
2020;1;33700;;;Ocio y tiempo libre;84412.67;85029.01
2021;1;33700;;;Ocio y tiempo libre;87126.4;82339.87
2022;1;33700;;;Ocio y tiempo libre;131914.86;97559.7
2023;1;33700;;;Ocio y tiempo libre;95502.57;125074.01
2024;1;33700;;;Ocio y tiempo libre;93200;86370.39
2010;1;33701;;;¿;0;0
2011;1;33701;;;¿;0;0
2012;1;33701;;;¿;0;0
2013;1;33701;;;¿;0;0
2014;1;33701;;;¿;0;0
2015;1;33701;;;¿;0;0
2016;1;33701;;;¿;0;0
2017;1;33701;;;¿;0;0
2018;1;33701;;;¿;0;0
2019;1;33701;;;¿;0;0
2020;1;33701;;;¿;0;0
2021;1;33701;;;¿;0;0
2022;1;33701;;;¿;2570;6400.86
2023;1;33701;;;¿;2570;0
2024;1;33701;;;¿;0;0
2010;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;0;0
2011;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;0;0
2012;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;0;0
2013;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;0;0
2014;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;0;0
2015;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;47415.95;81051.95
2016;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;45459.03;69647.13
2017;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;57546.68;108094.36
2018;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;45246.68;43542.93
2019;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;17200;94168.36
2020;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;19200;30156.05
2021;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;19200;10995.56
2022;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;13700;28988.95
2023;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;24700;17063.3
2024;1;33710;;;Instalaciones de ocupación del tiempo libre: CASA DE ASOC.;18700;11579.89
2010;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;0;0
2011;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;0;0
2012;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;0;0
2013;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;0;0
2014;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;0;0
2015;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;19900;14280.72
2016;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;27900;35854.15
2017;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;42400;46637.86
2018;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;15000;25953
2019;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;16500;17899.37
2020;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;16500;22344.52
2021;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;15500;103584.05
2022;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;18500;24288.17
2023;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;18500;39650.06
2024;1;33720;;;Instalaciones de ocupación del tiempo libre: AUDITORIO.;23500;28271.58
2010;1;33800;;;Fiestas populares y festejos;299500;270337.49
2011;1;33800;;;Fiestas populares y festejos;247500;238186.35
2012;1;33800;;;Fiestas populares y festejos;186800;175458.08
2013;1;33800;;;Fiestas populares y festejos;169500;188356.37
2014;1;33800;;;Fiestas populares y festejos;161810;204575.51
2015;1;33800;;;Fiestas populares y festejos;148002.65;215174.24
2016;1;33800;;;Fiestas populares y festejos;206166.81;248450.25
2017;1;33800;;;Fiestas populares y festejos;283286.81;295651.44
2018;1;33800;;;Fiestas populares y festejos;278900;353570.01
2019;1;33800;;;Fiestas populares y festejos;277400;295507.66
2020;1;33800;;;Fiestas populares y festejos;320100;244971.08
2021;1;33800;;;Fiestas populares y festejos;273800;248274.72
2022;1;33800;;;Fiestas populares y festejos;278800;363843.63
2023;1;33800;;;Fiestas populares y festejos;245600;244258.27
2024;1;33800;;;Fiestas populares y festejos;238800;344344.26
2010;1;33801;;;Fiestas populares y festejos: CULTURA.;0;0
2011;1;33801;;;Fiestas populares y festejos: CULTURA.;0;0
2012;1;33801;;;Fiestas populares y festejos: CULTURA.;0;0
2013;1;33801;;;Fiestas populares y festejos: CULTURA.;0;0
2014;1;33801;;;Fiestas populares y festejos: CULTURA.;0;0
2015;1;33801;;;Fiestas populares y festejos: CULTURA.;15535;8752.71
2016;1;33801;;;Fiestas populares y festejos: CULTURA.;10320;16492.03
2017;1;33801;;;Fiestas populares y festejos: CULTURA.;14000;15807.01
2018;1;33801;;;Fiestas populares y festejos: CULTURA.;27100;27639.91
2019;1;33801;;;Fiestas populares y festejos: CULTURA.;27100;24796.7
2020;1;33801;;;Fiestas populares y festejos: CULTURA.;27100;678.4
2021;1;33801;;;Fiestas populares y festejos: CULTURA.;30000;29979.98
2022;1;33801;;;Fiestas populares y festejos: CULTURA.;29000;24528.4
2023;1;33801;;;Fiestas populares y festejos: CULTURA.;25000;24870.62
2024;1;33801;;;Fiestas populares y festejos: CULTURA.;21500;20102.4
2010;1;33802;;;Fiestas populares y festejos: JUVENTUD.;0;0
2011;1;33802;;;Fiestas populares y festejos: JUVENTUD.;0;0
2012;1;33802;;;Fiestas populares y festejos: JUVENTUD.;0;0
2013;1;33802;;;Fiestas populares y festejos: JUVENTUD.;0;0
2014;1;33802;;;Fiestas populares y festejos: JUVENTUD.;0;0
2015;1;33802;;;Fiestas populares y festejos: JUVENTUD.;1550;1482.91
2016;1;33802;;;Fiestas populares y festejos: JUVENTUD.;1500;2268.75
2017;1;33802;;;Fiestas populares y festejos: JUVENTUD.;1500;4767.4
2018;1;33802;;;Fiestas populares y festejos: JUVENTUD.;4000;4000
2019;1;33802;;;Fiestas populares y festejos: JUVENTUD.;4000;5770.49
2020;1;33802;;;Fiestas populares y festejos: JUVENTUD.;4000;332.75
2021;1;33802;;;Fiestas populares y festejos: JUVENTUD.;10500;10500
2022;1;33802;;;Fiestas populares y festejos: JUVENTUD.;10000;4802.05
2023;1;33802;;;Fiestas populares y festejos: JUVENTUD.;10000;8556.59
2024;1;33802;;;Fiestas populares y festejos: JUVENTUD.;16000;10769.67
2010;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2011;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2012;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2013;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2014;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2015;1;33803;;;Fiestas populares y festejos: ¿?;0;0
2016;1;33803;;;Fiestas populares y festejos: ¿?;2600;3707.05
2017;1;33803;;;Fiestas populares y festejos: ¿?;2600;2073.28
2018;1;33803;;;Fiestas populares y festejos: ¿?;4500;3915.12
2019;1;33803;;;Fiestas populares y festejos: ¿?;5000;2975.34
2020;1;33803;;;Fiestas populares y festejos: ¿?;4500;0
2021;1;33803;;;Fiestas populares y festejos: ¿?;6000;5340.13
2022;1;33803;;;Fiestas populares y festejos: ¿?;6000;5711.09
2023;1;33803;;;Fiestas populares y festejos: ¿?;6000;3103.35
2024;1;33803;;;Fiestas populares y festejos: ¿?;5000;4820.92
2010;1;33804;;;¿;0;0
2011;1;33804;;;¿;0;0
2012;1;33804;;;¿;0;0
2013;1;33804;;;¿;0;0
2014;1;33804;;;¿;0;0
2015;1;33804;;;¿;0;0
2016;1;33804;;;¿;0;0
2017;1;33804;;;¿;0;0
2018;1;33804;;;¿;0;0
2019;1;33804;;;¿;0;0
2020;1;33804;;;¿;0;0
2021;1;33804;;;¿;23600;23076.59
2022;1;33804;;;¿;30600;30464.5
2023;1;33804;;;¿;31500;32919.91
2024;1;33804;;;¿;15500;21467.28
2010;1;34000;;;Administración Gral. de Deporte;109150.89;99053.13
2011;1;34000;;;Administración Gral. de Deporte;198639.17;230333.37
2012;1;34000;;;Administración Gral. de Deporte;239768.55;213037.5
2013;1;34000;;;Administración Gral. de Deporte;239921.85;229534.09
2014;1;34000;;;Administración Gral. de Deporte;246388.4;233961.84
2015;1;34000;;;Administración Gral. de Deporte;30227.63;29841.6
2016;1;34000;;;Administración Gral. de Deporte;30953.04;28365.84
2017;1;34000;;;Administración Gral. de Deporte;30397.99;29236.3
2018;1;34000;;;Administración Gral. de Deporte;31313.14;19640.36
2019;1;34000;;;Administración Gral. de Deporte;30703.51;25487.99
2020;1;34000;;;Administración Gral. de Deporte;31478.15;33333.06
2021;1;34000;;;Administración Gral. de Deporte;31661.71;30496.85
2022;1;34000;;;Administración Gral. de Deporte;33256.35;33569.83
2023;1;34000;;;Administración Gral. de Deporte;33312.92;33759.97
2024;1;34000;;;Administración Gral. de Deporte;34558.05;27990.63
2010;1;34100;;;Promoción y fomento del deporte;179400;170888.11
2011;1;34100;;;Promoción y fomento del deporte;205100;182444.77
2012;1;34100;;;Promoción y fomento del deporte;134802;121077.44
2013;1;34100;;;Promoción y fomento del deporte;142500;155074.25
2014;1;34100;;;Promoción y fomento del deporte;143550;183460.44
2015;1;34100;;;Promoción y fomento del deporte;146080;131515.75
2016;1;34100;;;Promoción y fomento del deporte;155950;138176.4
2017;1;34100;;;Promoción y fomento del deporte;141770;137659.66
2018;1;34100;;;Promoción y fomento del deporte;143770;146581.73
2019;1;34100;;;Promoción y fomento del deporte;164770;150222.11
2020;1;34100;;;Promoción y fomento del deporte;179555;142788.39
2021;1;34100;;;Promoción y fomento del deporte;160800;137301.29
2022;1;34100;;;Promoción y fomento del deporte;164200;172764.41
2023;1;34100;;;Promoción y fomento del deporte;165900;193289.49
2024;1;34100;;;Promoción y fomento del deporte;160300;151184.06
2010;1;34200;;;Instalaciones deportivas;851060.82;889393.12
2011;1;34200;;;Instalaciones deportivas;521880;286398
2012;1;34200;;;Instalaciones deportivas;255700;195475.46
2013;1;34200;;;Instalaciones deportivas;238900;230792.25
2014;1;34200;;;Instalaciones deportivas;255952;207584.29
2015;1;34200;;;Instalaciones deportivas;416148.07;402778.35
2016;1;34200;;;Instalaciones deportivas;443016.44;418540.76
2017;1;34200;;;Instalaciones deportivas;428815.71;430596.47
2018;1;34200;;;Instalaciones deportivas;462165.98;485017.17
2019;1;34200;;;Instalaciones deportivas;442255.31;698001.09
2020;1;34200;;;Instalaciones deportivas;463884.71;552382.27
2021;1;34200;;;Instalaciones deportivas;478054.28;574404.52
2022;1;34200;;;Instalaciones deportivas;470080.17;688327.47
2023;1;34200;;;Instalaciones deportivas;478620.8;716854.66
2024;1;34200;;;Instalaciones deportivas;579851.89;690920.19
2010;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;93850.03;1016649.63
2011;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;131100.03;113845.45
2012;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;92709.81;86878.04
2013;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;93228.75;85262.84
2014;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;91776.9;87615.18
2015;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;93194.66;90360.94
2016;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;125997.58;108967.68
2017;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;155028.83;117517.54
2018;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;140285.98;151354.54
2019;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;172844.21;146865.22
2020;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;173016.62;148870.12
2021;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;163365.11;155486.25
2022;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;192221.85;192251.14
2023;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;167105.74;171014.84
2024;1;41000;;;Adm. Gral. de Agricultura, Ganadería y Pesca;172313.49;166003.59
2010;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;0;0
2011;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;0;0
2012;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;0;0
2013;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;0;0
2014;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;0;0
2015;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2200;2196.01
2016;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2200;2415.01
2017;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2200;0
2018;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2500;4135.37
2019;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2650;1720.36
2020;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2650;2124.55
2021;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2650;1699.64
2022;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;2650;1699.64
2023;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;1800;1642.76
2024;1;41900;;;Otras actuaciones en agricultura, ganadería y pesca.;1800;1642.76
2010;1;43100;;;Comercio  ;0;0
2011;1;43100;;;Comercio  ;0;0
2012;1;43100;;;Comercio  ;0;0
2013;1;43100;;;Comercio  ;0;0
2014;1;43100;;;Comercio  ;0;0
2015;1;43100;;;Comercio  ;0;0
2016;1;43100;;;Comercio  ;0;0
2017;1;43100;;;Comercio  ;0;0
2018;1;43100;;;Comercio  ;0;0
2019;1;43100;;;Comercio  ;0;0
2020;1;43100;;;Comercio  ;0;0
2021;1;43100;;;Comercio  ;0;0
2022;1;43100;;;Comercio  ;0;0
2023;1;43100;;;Comercio  ;0;0
2024;1;43100;;;Comercio  ;0;0
2010;1;43110;;;Ferias.;0;0
2011;1;43110;;;Ferias.;0;0
2012;1;43110;;;Ferias.;0;0
2013;1;43110;;;Ferias.;0;0
2014;1;43110;;;Ferias.;0;0
2015;1;43110;;;Ferias.;2350;3216.87
2016;1;43110;;;Ferias.;6300;788.14
2017;1;43110;;;Ferias.;6400;2833.72
2018;1;43110;;;Ferias.;900;738.2
2019;1;43110;;;Ferias.;900;1000
2020;1;43110;;;Ferias.;1000;1000
2021;1;43110;;;Ferias.;1000;0
2022;1;43110;;;Ferias.;0;0
2023;1;43110;;;Ferias.;0;0
2024;1;43110;;;Ferias.;0;0
2010;1;43130;;;Comercio ambulante.;0;0
2011;1;43130;;;Comercio ambulante.;0;0
2012;1;43130;;;Comercio ambulante.;0;0
2013;1;43130;;;Comercio ambulante.;0;0
2014;1;43130;;;Comercio ambulante.;0;0
2015;1;43130;;;Comercio ambulante.;8599.22;7186.69
2016;1;43130;;;Comercio ambulante.;7831.89;6777.68
2017;1;43130;;;Comercio ambulante.;7772.89;7075.67
2018;1;43130;;;Comercio ambulante.;7921.99;7171.63
2019;1;43130;;;Comercio ambulante.;8107.27;6640.08
2020;1;43130;;;Comercio ambulante.;8063.46;8314.63
2021;1;43130;;;Comercio ambulante.;7958.32;7845.2
2022;1;43130;;;Comercio ambulante.;8095.14;8132.85
2023;1;43130;;;Comercio ambulante.;8540.62;8264.72
2024;1;43130;;;Comercio ambulante.;8863.51;8462.48
2010;1;43200;;;Ordenación y promoción turística;89087;137967.2
2011;1;43200;;;Ordenación y promoción turística;72587;132576.54
2012;1;43200;;;Ordenación y promoción turística;50044.38;70131.45
2013;1;43200;;;Ordenación y promoción turística;53000;98492.53
2014;1;43200;;;Ordenación y promoción turística;73557.43;31705.9
2015;1;43200;;;Ordenación y promoción turística;119981.6;119347.25
2016;1;43200;;;Ordenación y promoción turística;123444.9;101575.37
2017;1;43200;;;Ordenación y promoción turística;93582.46;59705.65
2018;1;43200;;;Ordenación y promoción turística;75795.9;59730.66
2019;1;43200;;;Ordenación y promoción turística;80068.76;93694.03
2020;1;43200;;;Ordenación y promoción turística;105434.93;111488.52
2021;1;43200;;;Ordenación y promoción turística;98076.04;186884.41
2022;1;43200;;;Ordenación y promoción turística;67331.94;79089.41
2023;1;43200;;;Ordenación y promoción turística;65792.77;71439.34
2024;1;43200;;;Ordenación y promoción turística;89430.56;91733.17
2010;1;43201;;;Ordenación y promoción turística;0;0
2011;1;43201;;;Ordenación y promoción turística;0;0
2012;1;43201;;;Ordenación y promoción turística;0;0
2013;1;43201;;;Ordenación y promoción turística;12000;14559.53
2014;1;43201;;;Ordenación y promoción turística;13400;18882.78
2015;1;43201;;;Ordenación y promoción turística;12500;14205.75
2016;1;43201;;;Ordenación y promoción turística;16900;18775.97
2017;1;43201;;;Ordenación y promoción turística;16200;16049.62
2018;1;43201;;;Ordenación y promoción turística;16700;20044.36
2019;1;43201;;;Ordenación y promoción turística;16700;11423.39
2020;1;43201;;;Ordenación y promoción turística;25000;5715.94
2021;1;43201;;;Ordenación y promoción turística;32500;20234.94
2022;1;43201;;;Ordenación y promoción turística;28500;12967.24
2023;1;43201;;;Ordenación y promoción turística;20500;23096.25
2024;1;43201;;;Ordenación y promoción turística;29500;5304.35
2010;1;43202;;;Ordenación y promoción turística (FIM);0;0
2011;1;43202;;;Ordenación y promoción turística (FIM);0;0
2012;1;43202;;;Ordenación y promoción turística (FIM);0;0
2013;1;43202;;;Ordenación y promoción turística (FIM);0;0
2014;1;43202;;;Ordenación y promoción turística (FIM);30000;77517.18
2015;1;43202;;;Ordenación y promoción turística (FIM);14550;52332.11
2016;1;43202;;;Ordenación y promoción turística (FIM);35200;68749.62
2017;1;43202;;;Ordenación y promoción turística (FIM);36200;39064.07
2018;1;43202;;;Ordenación y promoción turística (FIM);52000;77617
2019;1;43202;;;Ordenación y promoción turística (FIM);11000;6866.87
2020;1;43202;;;Ordenación y promoción turística (FIM);0;0
2021;1;43202;;;Ordenación y promoción turística (FIM);0;0
2022;1;43202;;;Ordenación y promoción turística (FIM);0;0
2023;1;43202;;;Ordenación y promoción turística (FIM);0;0
2024;1;43202;;;Ordenación y promoción turística (FIM);0;0
2010;1;43203;;1;Curso promoción turística local;0;0
2011;1;43203;;1;Curso promoción turística local;0;0
2012;1;43203;;1;Curso promoción turística local;0;0
2013;1;43203;;1;Curso promoción turística local;0;13308.92
2014;1;43203;;1;Curso promoción turística local;0;43107.96
2015;1;43203;;1;Curso promoción turística local;0;0
2016;1;43203;;1;Curso promoción turística local;15000;12190.98
2017;1;43203;;1;Curso promoción turística local;25000;202972.18
2018;1;43203;;1;Curso promoción turística local;0;6867.84
2019;1;43203;;1;Curso promoción turística local;0;0
2020;1;43203;;1;Curso promoción turística local;0;0
2021;1;43203;;1;Curso promoción turística local;0;0
2022;1;43203;;1;Curso promoción turística local;0;0
2023;1;43203;;1;Curso promoción turística local;0;0
2024;1;43203;;1;Curso promoción turística local;0;0
2010;1;43203;;1;Promoción del turismo;89087;137967.2
2011;1;43203;;1;Promoción del turismo;72587;132576.54
2012;1;43203;;1;Promoción del turismo;50044.38;70131.45
2013;1;43203;;1;Promoción del turismo;65000;126360.98
2014;1;43203;;1;Promoción del turismo;116957.43;171213.82
2015;1;43203;;1;Promoción del turismo;147031.6;185885.11
2016;1;43203;;1;Promoción del turismo;190544.9;201291.94
2017;1;43203;;1;Promoción del turismo;170982.46;317791.52
2018;1;43203;;1;Promoción del turismo;144495.9;164259.86
2019;1;43203;;1;Promoción del turismo;107768.76;111984.29
2020;1;43203;;1;Promoción del turismo;130434.93;117204.46
2021;1;43203;;1;Promoción del turismo;130576.04;207119.35
2022;1;43203;;1;Promoción del turismo;95831.94;92056.65
2023;1;43203;;1;Promoción del turismo;86292.77;94535.59
2024;1;43203;;1;Promoción del turismo;118930.56;97037.52
2010;1;43204;;1;Información y promoción turística;0;0
2011;1;43204;;1;Información y promoción turística;0;0
2012;1;43204;;1;Información y promoción turística;0;0
2013;1;43204;;1;Información y promoción turística;0;0
2014;1;43204;;1;Información y promoción turística;0;0
2015;1;43204;;1;Información y promoción turística;0;0
2016;1;43204;;1;Información y promoción turística;0;0
2017;1;43204;;1;Información y promoción turística;0;0
2018;1;43204;;1;Información y promoción turística;0;0
2019;1;43204;;1;Información y promoción turística;0;0
2020;1;43204;;1;Información y promoción turística;0;6750.69
2021;1;43204;;1;Información y promoción turística;0;21140.48
2022;1;43204;;1;Información y promoción turística;0;413072.57
2023;1;43204;;1;Información y promoción turística;70000;397476.43
2024;1;43204;;1;Información y promoción turística;0;0
2010;1;43205;;1;¿;0;0
2011;1;43205;;1;¿;0;0
2012;1;43205;;1;¿;0;0
2013;1;43205;;1;¿;0;0
2014;1;43205;;1;¿;0;0
2015;1;43205;;1;¿;0;0
2016;1;43205;;1;¿;0;0
2017;1;43205;;1;¿;0;0
2018;1;43205;;1;¿;0;0
2019;1;43205;;1;¿;0;0
2020;1;43205;;1;¿;0;0
2021;1;43205;;1;¿;0;0
2022;1;43205;;1;¿;63000;0
2023;1;43205;;1;¿;0;0
2024;1;43205;;1;¿;0;0
2010;1;43206;;1;¿;0;0
2011;1;43206;;1;¿;0;0
2012;1;43206;;1;¿;0;0
2013;1;43206;;1;¿;0;0
2014;1;43206;;1;¿;0;0
2015;1;43206;;1;¿;0;0
2016;1;43206;;1;¿;0;0
2017;1;43206;;1;¿;0;0
2018;1;43206;;1;¿;0;0
2019;1;43206;;1;¿;0;0
2020;1;43206;;1;¿;0;0
2021;1;43206;;1;¿;0;0
2022;1;43206;;1;¿;190000;3630
2023;1;43206;;1;¿;0;180258.93
2024;1;43206;;1;¿;0;0
2010;1;43207;;1;¿;0;0
2011;1;43207;;1;¿;0;0
2012;1;43207;;1;¿;0;0
2013;1;43207;;1;¿;0;0
2014;1;43207;;1;¿;0;0
2015;1;43207;;1;¿;0;0
2016;1;43207;;1;¿;0;0
2017;1;43207;;1;¿;0;0
2018;1;43207;;1;¿;0;0
2019;1;43207;;1;¿;0;0
2020;1;43207;;1;¿;0;0
2021;1;43207;;1;¿;0;0
2022;1;43207;;1;¿;0;12900.52
2023;1;43207;;1;¿;0;207781.36
2024;1;43207;;1;¿;0;11318.07
2010;1;43208;;1;¿;0;0
2011;1;43208;;1;¿;0;0
2012;1;43208;;1;¿;0;0
2013;1;43208;;1;¿;0;0
2014;1;43208;;1;¿;0;0
2015;1;43208;;1;¿;0;0
2016;1;43208;;1;¿;0;0
2017;1;43208;;1;¿;0;0
2018;1;43208;;1;¿;0;0
2019;1;43208;;1;¿;0;0
2020;1;43208;;1;¿;0;0
2021;1;43208;;1;¿;0;0
2022;1;43208;;1;¿;0;110733.37
2023;1;43208;;1;¿;50000;72702.61
2024;1;43208;;1;¿;50000;242932.14
2010;1;43209;;1;¿;0;0
2011;1;43209;;1;¿;0;0
2012;1;43209;;1;¿;0;0
2013;1;43209;;1;¿;0;0
2014;1;43209;;1;¿;0;0
2015;1;43209;;1;¿;0;0
2016;1;43209;;1;¿;0;0
2017;1;43209;;1;¿;0;0
2018;1;43209;;1;¿;0;0
2019;1;43209;;1;¿;0;0
2020;1;43209;;1;¿;0;0
2021;1;43209;;1;¿;0;0
2022;1;43209;;1;¿;0;14161.47
2023;1;43209;;1;¿;0;31011.85
2024;1;43209;;1;¿;0;58267.94
2010;1;43210;;1;¿;0;0
2011;1;43210;;1;¿;0;0
2012;1;43210;;1;¿;0;0
2013;1;43210;;1;¿;0;0
2014;1;43210;;1;¿;0;0
2015;1;43210;;1;¿;0;0
2016;1;43210;;1;¿;0;0
2017;1;43210;;1;¿;0;0
2018;1;43210;;1;¿;0;0
2019;1;43210;;1;¿;0;0
2020;1;43210;;1;¿;0;0
2021;1;43210;;1;¿;0;0
2022;1;43210;;1;¿;0;55005.68
2023;1;43210;;1;¿;42000;181092.59
2024;1;43210;;1;¿;42000;162554.37
2010;1;43211;;1;¿;0;0
2011;1;43211;;1;¿;0;0
2012;1;43211;;1;¿;0;0
2013;1;43211;;1;¿;0;0
2014;1;43211;;1;¿;0;0
2015;1;43211;;1;¿;0;0
2016;1;43211;;1;¿;0;0
2017;1;43211;;1;¿;0;0
2018;1;43211;;1;¿;0;0
2019;1;43211;;1;¿;0;0
2020;1;43211;;1;¿;0;0
2021;1;43211;;1;¿;0;0
2022;1;43211;;1;¿;0;38123.71
2023;1;43211;;1;¿;0;73970.08
2024;1;43211;;1;¿;0;30323.85
2010;1;43300;;;Desarrollo empresarial;58291;87359.82
2011;1;43300;;;Desarrollo empresarial;53740.01;40584.41
2012;1;43300;;;Desarrollo empresarial;45640;24574.27
2013;1;43300;;;Desarrollo empresarial;46042;76079.21
2014;1;43300;;;Desarrollo empresarial;75592;69077.99
2015;1;43300;;;Desarrollo empresarial;82437.92;112031.73
2016;1;43300;;;Desarrollo empresarial;67428.21;100798.56
2017;1;43300;;;Desarrollo empresarial;112171.23;79786.93
2018;1;43300;;;Desarrollo empresarial;103781.23;77211.44
